id,name,num,stars_y,Comments
0,Emerald Chinese Restaurant,0 ,3 ,3 
1,Cha Me Cha,0 ,4 ,4 
2,Keung's Restaurant,0 ,3 ,3 
3,Kenny's Gourmet,0 ,3 ,3 
4,Koi Sakana Ramen House,0 ,5 ,5 
5,Echo Sushi,0 ,4 ,4 
6,Yummy Pho,0 ,3 ,3 
7,Caf̩ Boulud,0 ,3 ,3 
8,Hakka Ren,0 ,4 ,4 
9,Bubble Republic Tea House,0 ,4 ,4 
10,La Bettola di Terroni,0 ,2 ,2 
11,Emerald Chinese Restaurant,1 ,3 ,3 
12,Pearl King,1 ,2 ,2 
13,Si Lom Thai Bistro,1 ,3 ,3 
14,Bliss Restaurant and Bar Hilton Airport Toronto,1 ,3 ,3 
15,Ping Pang Pong,1 ,2 ,2 
16,CatHouse Boutique Nightclub,1 ,2 ,2 
17,St. Urbain Bagel Bakery,1 ,4 ,4 
18,Yuzu No Hana,1 ,2 ,2 
19,Pantheon Restaurant,1 ,4 ,4 
20,The Bagel House,1 ,5 ,5 
21,Sauvignon Bistro,1 ,4 ,4 
22,San Francesco Foods - Bay,1 ,4 ,4 
23,Country Club,1 ,4 ,4 
24,Gusto 101,1 ,5 ,5 
25,Church Aperitivo Bar,1 ,5 ,5 
26,Emerald Chinese Restaurant,2 ,3 ,3 
27,Fred's Not Here,2 ,4 ,4 
28,Congee Queen,2 ,5 ,5 
29,Kyoto,2 ,4 ,4 
30,Axia Restaurant & Bar,2 ,1 ,1 
31,Kung Fu Tea,2 ,4 ,4 
32,Wind Japanese & Thai,2 ,2 ,2 
33,Snug Harbour,2 ,3 ,3 
34,Goldstone Noodle Restaurant,2 ,3 ,3 
35,Yang's Chinese Cuisine,2 ,5 ,5 
36,Best Friend Restaurant,2 ,4 ,4 
37,Mean Bao,2 ,2 ,2 
38,The Jerk Joint,2 ,1 ,1 
39,BIWON,2 ,4 ,4 
40,Dumpling House Restaurant,2 ,4 ,4 
41,Emerald Chinese Restaurant,3 ,4 ,4 
42,Emerald Chinese Restaurant,98554 ,4 ,4 
43,Spring Sushi,98554 ,4 ,4 
44,Emerald Chinese Restaurant,4 ,3 ,3 
45,Baba Dhaba,4 ,2 ,2 
46,Lan Restaurant,4 ,2 ,2 
